mem: 93824994647562, val: 0
mem: 93824994647561, val: 0
mem: 93824994647560, val: 0
mem: 93824994647559, val: 0
mem: 93824994647558, val: 0
mem: 93824994647557, val: 0
mem: 93824994647556, val: 0
mem: 93824994647555, val: 0
mem: 93824994647554, val: 0
mem: 93824994647553, val: 0
mem: 93824994647552, val: 0
mem: 93824994647551, val: 0
mem: 93824994647550, val: 0
mem: 93824994647549, val: 0
mem: 93824994647548, val: 0
mem: 93824994647547, val: 0
mem: 93824994647546, val: 0
mem: 93824994647545, val: 0
mem: 93824994647544, val: 0
mem: 93824994647543, val: 0
mem: 93824994647542, val: 0
mem: 93824994647541, val: 0
mem: 93824994647540, val: 0
mem: 93824994647539, val: 0
mem: 93824994647538, val: 0
mem: 93824994647537, val: 0
mem: 93824994647536, val: 0
mem: 93824994647535, val: 0
mem: 93824994647534, val: 0
mem: 93824994647533, val: 0
mem: 93824994647532, val: 0
mem: 93824994647531, val: 0
mem: 93824994647530, val: 0
mem: 93824994647529, val: 0
mem: 93824994647528, val: 0
mem: 93824994647527, val: 0
mem: 93824994647526, val: 0
mem: 93824994647525, val: 0
mem: 93824994647524, val: 0
mem: 93824994647523, val: 0
mem: 93824994647522, val: 0
mem: 93824994647521, val: 0
mem: 93824994647520, val: 0
mem: 93824994647519, val: 0
mem: 93824994647518, val: 0
mem: 93824994647517, val: 0
mem: 93824994647516, val: 0
mem: 93824994647515, val: 0
mem: 93824994647514, val: 0
mem: 93824994647513, val: 0
mem: 93824994647512, val: 0
mem: 93824994647511, val: 0
mem: 93824994647510, val: 0
mem: 93824994647509, val: 0
mem: 93824994647508, val: 0
mem: 93824994647507, val: 0
mem: 93824994647506, val: 0
mem: 93824994647505, val: 0
mem: 93824994647504, val: 0
mem: 93824994647503, val: 0
mem: 93824994647502, val: 0
mem: 93824994647501, val: 0
mem: 93824994647500, val: 0
mem: 93824994647499, val: 0
mem: 93824994647498, val: 0
mem: 93824994647497, val: 0
mem: 93824994647496, val: 0
mem: 93824994647495, val: 0
mem: 93824994647494, val: 0
mem: 93824994647493, val: 0
mem: 93824994647492, val: 0
mem: 93824994647491, val: 0
mem: 93824994647490, val: 0
mem: 93824994647489, val: 0
mem: 93824994647488, val: 0
mem: 93824994647487, val: 0
mem: 93824994647486, val: 0
mem: 93824994647485, val: 0
mem: 93824994647484, val: 0
mem: 93824994647483, val: 0
mem: 93824994647482, val: 0
mem: 93824994647481, val: 0
mem: 93824994647480, val: 0
mem: 93824994647479, val: 0
mem: 93824994647478, val: 0
mem: 93824994647477, val: 0
mem: 93824994647476, val: 0
mem: 93824994647475, val: 0
mem: 93824994647474, val: 0
mem: 93824994647473, val: 0
mem: 93824994647472, val: 0
mem: 93824994647471, val: 0
mem: 93824994647470, val: 0
mem: 93824994647469, val: 0
mem: 93824994647468, val: 0
mem: 93824994647467, val: 0
mem: 93824994647466, val: 0
mem: 93824994647465, val: 0
mem: 93824994647464, val: 0
mem: 93824994647463, val: 0
mem: 93824994647462, val: 0
mem: 93824994647461, val: 0
mem: 93824994647460, val: 0
mem: 93824994647459, val: 0
mem: 93824994647458, val: 0
mem: 93824994647457, val: 0
mem: 93824994647456, val: 0
mem: 93824994647455, val: 0
mem: 93824994647454, val: 0
mem: 93824994647453, val: 0
mem: 93824994647452, val: 0
mem: 93824994647451, val: 0
mem: 93824994647450, val: 0
mem: 93824994647449, val: 0
mem: 93824994647448, val: 0
mem: 93824994647447, val: 0
mem: 93824994647446, val: 0
mem: 93824994647445, val: 0
mem: 93824994647444, val: 0
mem: 93824994647443, val: 0
mem: 93824994647442, val: 0
mem: 93824994647441, val: 0
mem: 93824994647440, val: 0
mem: 93824994647439, val: 0
mem: 93824994647438, val: 0
mem: 93824994647437, val: 0
mem: 93824994647436, val: 0
mem: 93824994647435, val: 0
mem: 93824994647434, val: 0
mem: 93824994647433, val: 0
mem: 93824994647432, val: 0
mem: 93824994647431, val: 0
mem: 93824994647430, val: 0
mem: 93824994647429, val: 0
mem: 93824994647428, val: 0
mem: 93824994647427, val: 0
mem: 93824994647426, val: 0
mem: 93824994647425, val: 0
mem: 93824994647424, val: 0
mem: 93824994647423, val: 0
mem: 93824994647422, val: 0
mem: 93824994647421, val: 0
mem: 93824994647420, val: 0
mem: 93824994647419, val: 0
mem: 93824994647418, val: 0
mem: 93824994647417, val: 0
mem: 93824994647416, val: 0
mem: 93824994647415, val: 0
mem: 93824994647414, val: 0
mem: 93824994647413, val: 0
mem: 93824994647412, val: 0
mem: 93824994647411, val: 0
mem: 93824994647410, val: 0
mem: 93824994647409, val: 0
mem: 93824994647408, val: 0
mem: 93824994647407, val: 0
mem: 93824994647406, val: 0
mem: 93824994647405, val: 0
mem: 93824994647404, val: 0
mem: 93824994647403, val: 0
mem: 93824994647402, val: 0
mem: 93824994647401, val: 0
mem: 93824994647400, val: 0
mem: 93824994647399, val: 0
mem: 93824994647398, val: 0
mem: 93824994647397, val: 0
mem: 93824994647396, val: 0
mem: 93824994647395, val: 0
mem: 93824994647394, val: 0
mem: 93824994647393, val: 0
mem: 93824994647392, val: 0
mem: 93824994647391, val: 0
mem: 93824994647390, val: 0
mem: 93824994647389, val: 0
mem: 93824994647388, val: 0
mem: 93824994647387, val: 0
mem: 93824994647386, val: 0
mem: 93824994647385, val: 0
mem: 93824994647384, val: 0
mem: 93824994647383, val: 0
mem: 93824994647382, val: 0
mem: 93824994647381, val: 0
mem: 93824994647380, val: 0
mem: 93824994647379, val: 0
mem: 93824994647378, val: 0
mem: 93824994647377, val: 0
mem: 93824994647376, val: 0
mem: 93824994647375, val: 0
mem: 93824994647374, val: 0
mem: 93824994647373, val: 0
mem: 93824994647372, val: 0
mem: 93824994647371, val: 0
mem: 93824994647370, val: 0
mem: 93824994647369, val: 0
mem: 93824994647368, val: 0
mem: 93824994647367, val: 0
mem: 93824994647366, val: 0
mem: 93824994647365, val: 0
mem: 93824994647364, val: 0
mem: 93824994647363, val: 0
mem: 93824994647362, val: 0
mem: 93824994647361, val: 0
mem: 93824994647360, val: 0
mem: 93824994647359, val: 0
mem: 93824994647358, val: 0
mem: 93824994647357, val: 0
mem: 93824994647356, val: 0
mem: 93824994647355, val: 0
mem: 93824994647354, val: 0
mem: 93824994647353, val: 0
mem: 93824994647352, val: 0
mem: 93824994647351, val: 0
mem: 93824994647350, val: 0
mem: 93824994647349, val: 0
mem: 93824994647348, val: 0
mem: 93824994647347, val: 0
mem: 93824994647346, val: 0
mem: 93824994647345, val: 0
mem: 93824994647344, val: 0
mem: 93824994647343, val: 0
mem: 93824994647342, val: 0
mem: 93824994647341, val: 0
mem: 93824994647340, val: 0
mem: 93824994647339, val: 0
mem: 93824994647338, val: 0
mem: 93824994647337, val: 0
mem: 93824994647336, val: 0
mem: 93824994647335, val: 0
mem: 93824994647334, val: 0
mem: 93824994647333, val: 0
mem: 93824994647332, val: 0
mem: 93824994647331, val: 0
mem: 93824994647330, val: 0
mem: 93824994647329, val: 0
mem: 93824994647328, val: 0
mem: 93824994647327, val: 0
mem: 93824994647326, val: 0
mem: 93824994647325, val: 0
mem: 93824994647324, val: 0
mem: 93824994647323, val: 0
mem: 93824994647322, val: 0
mem: 93824994647321, val: 0
mem: 93824994647320, val: 0
mem: 93824994647319, val: 0
mem: 93824994647318, val: 0
mem: 93824994647317, val: 0
mem: 93824994647316, val: 0
mem: 93824994647315, val: 0
mem: 93824994647314, val: 0
mem: 93824994647313, val: 0
mem: 93824994647312, val: 0
mem: 93824994647311, val: 0
mem: 93824994647310, val: 0
mem: 93824994647309, val: 0
mem: 93824994647308, val: 0
mem: 93824994647307, val: 0
mem: 93824994647306, val: 0
mem: 93824994647305, val: 0
mem: 93824994647304, val: 0
mem: 93824994647303, val: 0
mem: 93824994647302, val: 0
mem: 93824994647301, val: 0
mem: 93824994647300, val: 0
mem: 93824994647299, val: 0
mem: 93824994647298, val: 0
mem: 93824994647297, val: 0
mem: 93824994647296, val: 0
mem: 93824994647295, val: 0
mem: 93824994647294, val: 0
mem: 93824994647293, val: 0
mem: 93824994647292, val: 0
mem: 93824994647291, val: 0
mem: 93824994647290, val: 0
mem: 93824994647289, val: 0
mem: 93824994647288, val: 0
mem: 93824994647287, val: 0
mem: 93824994647286, val: 0
mem: 93824994647285, val: 0
mem: 93824994647284, val: 0
mem: 93824994647283, val: 0
mem: 93824994647282, val: 0
mem: 93824994647281, val: 0
mem: 93824994647280, val: 0
mem: 93824994647279, val: 0
mem: 93824994647278, val: 0
mem: 93824994647277, val: 0
mem: 93824994647276, val: 0
mem: 93824994647275, val: 0
mem: 93824994647274, val: 0
mem: 93824994647273, val: 0
mem: 93824994647272, val: 0
mem: 93824994647271, val: 0
mem: 93824994647270, val: 0
mem: 93824994647269, val: 0
mem: 93824994647268, val: 0
mem: 93824994647267, val: 0
mem: 93824994647266, val: 0
mem: 93824994647265, val: 0
mem: 93824994647264, val: 0
mem: 93824994647263, val: 0
mem: 93824994647262, val: 0
mem: 93824994647261, val: 0
mem: 93824994647260, val: 0
mem: 93824994647259, val: 0
mem: 93824994647258, val: 0
mem: 93824994647257, val: 0
mem: 93824994647256, val: 0
mem: 93824994647255, val: 0
mem: 93824994647254, val: 0
mem: 93824994647253, val: 0
mem: 93824994647252, val: 0
mem: 93824994647251, val: 0
mem: 93824994647250, val: 0
mem: 93824994647249, val: 0
mem: 93824994647248, val: 0
mem: 93824994647247, val: 0
mem: 93824994647246, val: 0
mem: 93824994647245, val: 0
mem: 93824994647244, val: 0
mem: 93824994647243, val: 0
mem: 93824994647242, val: 0
mem: 93824994647241, val: 0
mem: 93824994647240, val: 0
mem: 93824994647239, val: 0
mem: 93824994647238, val: 0
mem: 93824994647237, val: 0
mem: 93824994647236, val: 0
mem: 93824994647235, val: 0
mem: 93824994647234, val: 0
mem: 93824994647233, val: 0
mem: 93824994647232, val: 0
mem: 93824994647231, val: 0
mem: 93824994647230, val: 0
mem: 93824994647229, val: 0
mem: 93824994647228, val: 0
mem: 93824994647227, val: 0
mem: 93824994647226, val: 0
mem: 93824994647225, val: 0
mem: 93824994647224, val: 0
mem: 93824994647223, val: 0
mem: 93824994647222, val: 0
mem: 93824994647221, val: 0
mem: 93824994647220, val: 0
mem: 93824994647219, val: 0
mem: 93824994647218, val: 0
mem: 93824994647217, val: 0
mem: 93824994647216, val: 0
mem: 93824994647215, val: 0
mem: 93824994647214, val: 0
mem: 93824994647213, val: 0
mem: 93824994647212, val: 0
mem: 93824994647211, val: 0
mem: 93824994647210, val: 0
mem: 93824994647209, val: 0
mem: 93824994647208, val: 0
mem: 93824994647207, val: 0
mem: 93824994647206, val: 0
mem: 93824994647205, val: 0
mem: 93824994647204, val: 0
mem: 93824994647203, val: 0
mem: 93824994647202, val: 0
mem: 93824994647201, val: 0
mem: 93824994647200, val: 0
mem: 93824994647199, val: 0
